Date&Time,Tweet,Tweet_ID,ReTweet_Count,Favorite_Count,Tweet_Source
2022-11-18 20:52:59+00:00,collaboration open access data made seemingly impossible health breakthroughs reality like covid19 vaccines putting power data behind one critical health challenges,1593708872291663872,375,1684,Twitter Web App
2022-11-18 18:51:11+00:00,decreasing maternal mortality lowering rates vaccinepreventable diseases true hero community,1593678220645511168,293,1782,Twitter Web App
2022-11-17 20:27:13+00:00,africa always heart foundations mission today announcing commitment 7 billion next 4 years development breakthrough innovations health agriculture across continent,1593340000149549056,505,2630,Twitter Web App
2022-11-17 20:05:19+00:00,great things health within kenya across africa thanks leadership pleasure meet,1593334489656139779,39,270,Twitter Web App
2022-11-17 19:07:18+00:00,many people dont know mike champion leader pepfar presidents emergency plan aids relief saved millions lives one best things country ever done lasting part legacy,1593319886763139072,148,1216,Twitter Web App
2022-11-17 19:07:17+00:00,im sad hear michael gersons passing spoke many times years especially global health started talking pandemic prevention back 2015 one first journalists wanted talk,1593319884439490561,274,1906,Twitter Web App
2022-11-17 18:36:48+00:00,pleasure join roundtable learn kenyas progress great back kenya much changed since last visit exciting come see firsthand,1593312213258772481,10,36,Twitter Web App
2022-11-16 20:55:31+00:00,rt excited host bill gates exclusive conversation virtual,1592984733906259968,265,0,Twitter Web App
2022-11-16 20:18:54+00:00,im kenya week learn researchers innovators students leaders whats working whats foundation better support progress kenya across continent,1592975520312225793,1948,18404,Twitter Web App
2022-11-16 19:36:58+00:00,thank im excited kenya week see much progress made,1592964968252854272,549,5246,Twitter Web App
2022-11-16 19:34:34+00:00,thank enjoyed learning health team well remarkable individuals make community,1592964362121392128,12,34,Twitter Web App
2022-11-15 18:55:28+00:00,believe everyone role play addressing climate change whether youre entrepreneur inventor consumer help avoid climate disaster,1592592132694757376,507,3050,Twitter Web App
2022-11-14 02:24:53+00:00,comes alleviating impacts climatechange smallholder farmers goal simply giving food aid ensure aid needed first place cop27,1591980459667656705,334,2175,Twitter Web App
2022-11-12 23:37:19+00:00,us done cause problem help rest world survive owe much,1591575900843569152,451,2605,Twitter Web App
2022-11-12 16:38:54+00:00,670000 children die pneumonia every year inventprise working change worldpneumoniaday,1591470604267696130,296,2052,Twitter Web App
2022-11-10 22:00:16+00:00,last steps proving toughest im optimistic eradicate polio recently visited rega institute theyre testing preventative medicine important step toward poliofree world,1590826702502236160,282,2656,Twitter Web App
2022-11-07 23:38:09+00:00,climate crisis already devastating communities funding necessary ensure agricultural technological innovations widely available vulnerable helping adapt climate change save lives increase economic opportunity,1589764171021037568,320,2056,Twitter Web App
2022-11-04 16:49:54+00:00,never met anyone passionate reducing worlds worst inequities health paul farmer continue learn dear friends life legacy today,1588574269226688512,254,2040,Twitter Web App
